epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1868,1.94152,2.61273,4.32547,0.01213,3.92875,0.00057,0.14155,0.0038,0.0014,7e-05,0.01826,9e-05,1e-05,1.76745,3.14526,4.77331,0.01686,0,0.000978723,0.000978723,0.0683546
2,47.1069,1.89522,2.46399,3.34769,0.01177,2.42024,0.10433,0.28134,0.08963,0.03947,0.08664,0.21165,0.06282,0.01932,1.77038,2.14187,3.65186,0.01706,0,0.00197853,0.00197853,0.0360211
3,69.8868,1.98783,2.14918,3.14553,0.01466,1.92497,0.19739,0.21671,0.14833,0.0613,0.1978,0.21171,0.13135,0.03851,2.00842,1.91495,3.35337,0.01875,0,0.00297759,0.00297759,0.00368681
4,93.4073,2.05491,2.28742,2.96234,0.01288,1.789,0.19531,0.2332,0.19176,0.07623,0.47115,0.23426,0.183,0.06694,1.9181,1.98409,3.19052,0.01869,0,0.00299742,0.00299742,0.00299742
5,116.02,1.98425,2.23007,2.80659,0.01273,1.70327,0.68196,0.2266,0.25694,0.09869,0.5863,0.20718,0.18375,0.06596,1.89855,1.95249,3.76117,0.01766,0,0.00299542,0.00299542,0.00299542
6,138.135,1.96559,2.23212,2.72323,0.01237,1.63538,0.30073,0.32797,0.27687,0.11246,0.29255,0.23046,0.21563,0.08297,1.85621,1.94157,2.88385,0.0171,0,0.00299285,0.00299285,0.00299285
7,160.392,1.95607,2.1754,2.5831,0.01173,1.56524,0.27756,0.32795,0.27269,0.12299,0.3456,0.19123,0.18876,0.06963,1.8443,2.12218,2.76459,0.01754,0,0.00298971,0.00298971,0.00298971
8,182.648,1.91427,2.18109,2.49971,0.01188,1.45604,0.41808,0.32179,0.32389,0.15399,0.41921,0.29965,0.27744,0.10422,1.80702,1.80954,2.68151,0.01683,0,0.002986,0.002986,0.002986
9,205.627,1.90238,2.18354,2.46325,0.01181,1.55597,0.47683,0.32447,0.33294,0.14909,0.46208,0.25674,0.29035,0.10921,1.80895,1.89839,2.62003,0.01698,0,0.00298172,0.00298172,0.00298172
10,229.481,1.83361,2.00263,2.38912,0.01161,1.51451,0.38724,0.32156,0.30132,0.13656,0.32597,0.28386,0.24144,0.08954,1.84406,1.70757,2.68485,0.01775,0,0.00297687,0.00297687,0.00297687
11,252.469,1.91345,2.11988,2.37544,0.01192,1.55388,0.43609,0.36427,0.37355,0.14842,0.35543,0.34561,0.30348,0.10448,1.83046,1.77615,2.49142,0.01735,0,0.00297147,0.00297147,0.00297147
12,275.092,1.91164,2.05238,2.41809,0.01266,1.41394,0.30505,0.35348,0.33431,0.14702,0.27324,0.31469,0.25072,0.08719,1.83371,1.8059,2.56555,0.01673,0,0.0029655,0.0029655,0.0029655
13,297.652,1.95259,2.12856,2.3474,0.01224,1.42084,0.30433,0.35971,0.32859,0.16331,0.32554,0.35233,0.31219,0.11267,1.75791,1.67714,2.30578,0.01602,0,0.00295897,0.00295897,0.00295897
14,320.863,1.87602,2.15045,2.2102,0.01091,1.44079,0.35582,0.41306,0.34608,0.15324,0.26695,0.37879,0.27104,0.10242,1.78223,1.82469,2.45687,0.01611,0,0.00295188,0.00295188,0.00295188
15,344.457,1.88806,2.16118,2.24387,0.01182,1.41208,0.35691,0.38447,0.35538,0.16261,0.30461,0.39393,0.31162,0.12074,1.74924,1.64875,2.35753,0.01633,0,0.00294425,0.00294425,0.00294425
16,367.193,1.87974,2.09909,2.20199,0.01067,1.38655,0.35377,0.38595,0.33906,0.15639,0.3303,0.3714,0.30513,0.10659,1.7352,1.66584,2.27521,0.01607,0,0.00293606,0.00293606,0.00293606
